,cid,text,time,author,channel,votes,photo,heart,reply,time_parsed,video_url,sentiment_vader_all,sentiment_vader,imdb_id,movie_name
0,Ugxy0EW0hAXkMITlCul4AaABAg,"I liked how Tobey encouraged Andrew when he was downing himself. That scene felt very self aware, considering there were many who didn't like Andrew's Spider-Man movies. I thought that was great.",1 year ago (edited),@JCW7100,UCbvXnBx64gxlA1H4vDJzpbQ,16000.0,https://yt3.ggpht.com/ytc/APkrFKbrEzLfMW1O4gkAPeRzETCGP22SsHNyWq-Zj38K=s176-c-k-c0x00ffffff-no-rj,False,False,1667747964.388115,https://www.youtube.com/watch?v=4gyYWO5EYqs,"{'neg': 0.056, 'neu': 0.693, 'pos': 0.251, 'compound': 0.8069}",0.8069,tt10872600,Spider Man No Way Home
1,UgwHvRvLbOPqvaekxD54AaABAg,I just hope that Andrew Garfield knows that everyone was happy he came back as Spider-Man,1 year ago,@Memehuskie,UCh82u85qKmdJgi18eC6F1aw,7900.0,https://yt3.ggpht.com/R645Cum_zO5MssGz8sFrNSjAdJifad2SkojTyLsWTHG5ftBA2_qsUuvLsXOhbGG9p6rYGuxSNw=s176-c-k-c0x00ffffff-no-rj,False,False,1667747964.395259,https://www.youtube.com/watch?v=4gyYWO5EYqs,"{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.765}",0.765,tt10872600,Spider Man No Way Home
2,UgwtMgwyAET_fnp0RBJ4AaABAg,Willem Dafoe's face getting a bigger smile every time Peter kept punching him on the face was amazing,1 year ago,@Arcademan09,UC5-NgJBkshUiNP-LitAVKPQ,6900.0,https://yt3.ggpht.com/ytc/APkrFKbqUAKgyQu5TRzDecH8wRrV-bXnTPjJ-Dp2gg6F=s176-c-k-c0x00ffffff-no-rj,False,False,1667747976.989074,https://www.youtube.com/watch?v=4gyYWO5EYqs,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.743}",0.743,tt10872600,Spider Man No Way Home
3,UgyMdnQwIk2DakHYD8V4AaABAg,They made what didn't work in The Amazing Spider-Man movies work very well in this movie. I'm so glad Andrew Garfield was in this.,1 year ago,@hunterkiller1440,UC30IjiHQ4YOKSjA-aI5lhhQ,5500.0,https://yt3.ggpht.com/ytc/APkrFKYWHR6YG51PTIy25eufX7bddyexZnfR71w23uWK2w=s176-c-k-c0x00ffffff-no-rj,False,False,1667747998.329329,https://www.youtube.com/watch?v=4gyYWO5EYqs,"{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.8767}",0.8767,tt10872600,Spider Man No Way Home
4,UgwLlPNVbPZYiim55Ut4AaABAg,Andrew Garfield really shined in this movie. The scene where he saved MJ and his face…his acting chops…. It was just fantastic. I hope Marvel gives something huge to Andrew. He deserves it.,1 year ago,@amitnagpal1985,UC8_aUc9vnTE_uehi8IbYMjQ,4600.0,https://yt3.ggpht.com/ytc/APkrFKZjmZSSaX3mwGncDp0yd3mAvwgFWwSNybtl6fga=s176-c-k-c0x00ffffff-no-rj,False,False,1667747983.761922,https://www.youtube.com/watch?v=4gyYWO5EYqs,"{'neg': 0.0, 'neu': 0.652, 'pos': 0.348, 'compound': 0.9246}",0.9246,tt10872600,Spider Man No Way Home
5,UgyoOV3-6m70gUY7HxJ4AaABAg,"Andrew Garfield and Willem Dafoe for me definitely stood out in this movie, I loved every minute of their scenes",1 year ago,@c40ra19,UCTZco_tu1b6HTq2UzMlzgZg,3400.0,https://yt3.ggpht.com/ytc/APkrFKY_RqIGHmHVgJjoqYYm-O2Q5Hg8Smke9nfXT-J_JQ=s176-c-k-c0x00ffffff-no-rj,False,False,1667747990.712875,https://www.youtube.com/watch?v=4gyYWO5EYqs,"{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.765}",0.765,tt10872600,Spider Man No Way Home
6,UgzwcKKw6J0GqDzodpR4AaABAg,"When Andrew says “I love you guys” and “I’ve always wanted brothers”. It really made me feel that he was the loneliest Spider-Man out of the three of them. He went through the most trauma and just wants to feel that sort of love and compassion again with someone. Im also glad they didn’t make Tobey look younger, it really gave him that big brother vibe and that he was the “wise old” one.",1 year ago,@dariustang9670,UCwXdqLDhFUdbLYt8B5yb56Q,3400.0,https://yt3.ggpht.com/ytc/APkrFKZ2njM6PyyTGETYe2G_X_UvGo0DEjBU7Yk61VU_pg=s176-c-k-c0x00ffffff-no-rj,False,False,1667747964.399927,https://www.youtube.com/watch?v=4gyYWO5EYqs,"{'neg': 0.073, 'neu': 0.765, 'pos': 0.162, 'compound': 0.8363}",0.8363,tt10872600,Spider Man No Way Home
7,UgzHDTdMei3Bfx3EzKx4AaABAg,"The inclusion of Tobey and Andrew served the story, not the other way around. That’s what makes this type of fan service different from something like Rise of Skywalker, where that was a movie created solely for nostalgia.

No Way Home felt like Tobey and Andrew were passing the torch and Tom’s now moving into act 2 as his own Spider-Man.",1 year ago,@AmanStudios,UCPCtAOdYZW95kQUiLm7QBgg,2700.0,https://yt3.ggpht.com/1j0_v3TbgkU5WENy--0W2LhDWPqT4Mu64Hoy07ehiN77KyqlvwdHM0jQhW4dOWpHMvzaS4fW-A=s176-c-k-c0x00ffffff-no-rj,False,False,1667747964.390089,https://www.youtube.com/watch?v=4gyYWO5EYqs,"{'neg': 0.034, 'neu': 0.824, 'pos': 0.142, 'compound': 0.7269}",0.7269,tt10872600,Spider Man No Way Home
8,UgwaNxXavN-gpUj8JCJ4AaABAg,Andrew Garfield honestly was the star of the show for me... The scene with him catching MJ.... HIT HARD!!!,1 year ago,@821Drifter128,UCWJRGcYqZWAkfsdtx5k8r_Q,2400.0,https://yt3.ggpht.com/ytc/APkrFKaGEbQ-iBp75Bz7J21kC__ciqLl-a7-vUuPTYYI=s176-c-k-c0x00ffffff-no-rj,False,False,1667747987.028449,https://www.youtube.com/watch?v=4gyYWO5EYqs,"{'neg': 0.093, 'neu': 0.739, 'pos': 0.168, 'compound': 0.4104}",0.4104,tt10872600,Spider Man No Way Home
9,UgxwN5aCKSdrcxX2C094AaABAg,"When Norman says ""you know I'm something of a scientist myself"" my whole theatre erupted in laughter. Gotta love meme culture.",1 year ago,@extraplain2412,UC7SVrNwD40ncVa_OpwXwnRg,2400.0,https://yt3.ggpht.com/jFZOTL29KwqSWg-2LU3JzdRH73dSaO6m2ZV8wARoylQBKi-71ieA0VRDMTsRtt651Kcxs-BqE5s=s176-c-k-c0x00ffffff-no-rj,False,False,1667747983.750832,https://www.youtube.com/watch?v=4gyYWO5EYqs,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.8126}",0.8126,tt10872600,Spider Man No Way Home
