,Age,Hours per day,While working,Instrumentalist,Composer,Exploratory,Foreign languages,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Depression
0,18.0,3.0,1,1,1,1,1,1,0,1,0,0,2,0,3,3,1,0,3,2,3,0,2,0
1,63.0,1.5,1,0,0,1,0,2,0,0,1,2,1,3,1,2,1,0,2,2,1,3,1,0
2,18.0,4.0,0,0,0,0,1,0,0,3,0,0,1,1,3,0,2,2,1,0,1,1,3,1
3,61.0,2.5,1,0,1,1,1,2,0,0,1,2,0,3,2,3,2,0,2,2,0,0,0,1
4,18.0,4.0,1,0,0,1,0,0,0,1,0,1,3,0,3,2,2,0,2,3,3,0,1,0
5,18.0,5.0,1,1,1,1,1,1,2,0,0,0,2,3,3,1,3,1,3,3,3,3,0,1
6,18.0,3.0,1,1,0,1,1,2,0,1,2,1,1,2,0,1,1,1,1,1,0,0,2,1
7,21.0,1.0,1,0,0,1,1,0,0,1,0,0,3,1,3,0,2,0,2,2,1,0,1,0
8,19.0,6.0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,0,0,0,3,0,0
9,18.0,1.0,1,0,0,1,1,1,1,1,1,2,1,1,0,1,1,0,2,2,1,2,2,0
10,18.0,3.0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
11,19.0,8.0,1,0,0,1,0,1,0,3,0,0,2,1,1,1,1,0,1,1,2,1,1,0
13,19.0,2.0,1,0,0,1,0,0,3,1,2,0,2,0,0,0,1,0,1,0,3,0,0,0
14,18.0,4.0,1,1,0,1,1,3,1,0,0,0,0,3,0,2,1,2,2,0,0,2,1,0
15,17.0,2.0,0,0,0,1,1,1,1,0,0,0,2,1,1,1,1,1,3,1,2,2,1,0
16,16.0,8.0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,2,3,0,1,1
17,16.0,10.0,1,0,1,1,1,1,0,2,1,0,3,1,0,0,0,2,2,1,2,3,0,1
